datadate,GDP,IRLTLT01USQ156N,b10ret,t90ret,cpiret,YLDMAT
2014-03-31,17197.738,2.76333333333333,0.036126,0.000222,0.01392,1.543
2014-06-30,17518.508,2.62333333333333,0.025191,0.000124,0.008676,1.5116666666666667
2014-09-30,17804.228,2.49666666666667,0.00779,0.000116,-0.001309,1.583
2014-12-31,17912.079,2.28,0.028963,3.6e-05,-0.013523,1.4153333333333336
2015-03-31,18063.529,1.96666666666667,0.024583,9.1e-05,0.005566,1.3246666666666667
2015-06-30,18279.784,2.16666666666667,-0.029896,0.000147,0.010668,1.4560000000000002
2015-09-30,18401.626,2.22,0.032001,0.000164,-0.002904,1.3873333333333333
2015-12-31,18435.137,2.19,-0.014718,0.000209,-0.005968,1.516333333333333
2016-03-31,18525.933,1.92,0.045446,0.000758,0.006794,1.2630000000000001
2016-06-30,18711.702,1.75333333333333,0.029989,0.000846,0.012119,1.197
2016-09-30,18892.639,1.56333333333333,-0.006016,0.001092,0.001701,1.0916666666666668
2016-12-31,19089.379,2.13,-0.059124,0.000842,1.7e-05,1.585
2017-03-31,19280.084,2.44333333333333,0.012053,0.001212,0.009813,1.9233333333333331
2017-06-30,19438.643,2.26333333333333,0.017674,0.002079,0.004734,1.7706666666666668
2017-09-30,19692.595,2.24333333333333,-0.000329,0.002699,0.007609,1.7606666666666666
2017-12-31,20037.088,2.37,-0.001523,0.002835,-0.001196,2.0273333333333334
2018-03-31,20328.553,2.76,-0.023974,0.003464,0.012291,2.555
2018-06-30,20580.912,2.92,-0.003786,0.004499,0.009758,2.7133333333333334
2018-09-30,20798.73,2.92666666666667,-0.009975,0.004898,0.001786,2.8136666666666663
2018-12-31,20917.867,3.03333333333333,0.039366,0.005777,-0.004777,2.7426666666666666
2019-03-31,21111.6,2.65333333333333,0.032338,0.005665,0.011818,2.3913333333333333
2019-06-30,21397.938,2.33333333333333,0.037822,0.006417,0.007636,1.9773333333333334
2019-09-30,21717.171,1.79666666666667,0.029457,0.005743,0.002404,1.6006666666666665
2019-12-31,21933.217,1.79333333333333,-0.019347,0.004596,0.000837,1.6006666666666665
2020-03-31,21751.238,1.37666666666667,0.112754,0.005899,0.004441,0.8786666666666667
2020-06-30,19958.291,0.686666666666667,0.006131,0.0003,-0.001232,0.30233333333333334
2020-09-30,21704.437,0.65,0.000478,0.000498,0.009631,0.22
2020-12-31,22087.16,0.863333333333333,-0.018262,0.000217,0.000745,0.295
2021-03-31,22680.693,1.31666666666667,-0.064117,0.00028,0.016903,0.6706666666666666
2021-06-30,23425.91,1.59333333333333,0.029633,0.000126,0.025744,0.7736666666666667
2021-09-30,23982.379,1.32333333333333,0.003161,0.000139,0.009622,0.718
2021-12-31,24813.6,1.53666666666667,0.002712,0.00012,0.016376,1.1053333333333333
2022-03-31,25250.347,1.94,-0.06787,0.000369,0.031212,1.931
2022-06-30,25861.292,2.93,-0.051446,0.001083,0.030634,2.9279999999999995
2022-09-30,26336.304,3.10666666666667,-0.060534,0.004046,0.001678,3.4033333333333338
2022-12-31,26770.514,3.83,0.006176,0.008275,-3.7e-05,4.053333333333334
2023-03-31,27216.445,3.64666666666667,0.042767,0.011064,0.016978,3.7736666666666667
2023-06-30,27530.055,3.59333333333333,-0.022296,0.011933,0.010843,3.813333333333333
2023-09-30,28074.846,4.15,-0.048718,0.011966,0.008784,4.363666666666667
2023-12-31,28424.722,4.44,0.067224,0.013657,-0.003388,4.328666666666667
2024-03-31,28708.161,4.16,-0.016383,0.013044,0.018211,4.073333333333333
2024-06-30,29147.044,4.44333333333333,-0.004645,0.013536,0.005901,4.509333333333333
2024-09-30,29511.664,3.94666666666667,0.05999,0.014198,0.003584,3.712666666666667
2024-12-31,29825.182,4.28333333333333,-0.051607,0.011852,0.000964,4.159666666666666
