date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp_growth,ppi,trade_balance,unrate,usd_index,labor_force_women,health_services_emp,homeownership_rate,working_age_pop,migration_fear_idx,labor_force_part,labor_force_men
1990-03-31,-0.051113,-0.044353,-0.028089,-0.016606,-0.009294,0.00602,0.016363,0.019578,0.018159,0.020619,21.786666666666665,8.25,0.0537674448459079,-0.1103035599752282,-0.0863622887032349,0.7278543077967472,0.3226918231506915,0.8632439393242521,0.0218303160283801,114.2,-6213689304.0,5.3,93.13,57.6,10872,64.1,159473000,89.92874117,66.7,76.6
1990-06-30,0.04326,0.043723,0.032971,0.033665,0.033669,0.028198,0.027166,0.021064,0.019253,0.009324,17.776666666666667,8.243333333333332,0.0022244081150361,-0.0841520239116506,-0.1804300607981055,0.7761767149104213,0.062806415421838,0.8589647279691579,0.0148699891242547,114.3,-6006718614.0,5.333333333333333,92.4,57.4,11011,63.9,159718600,84.91838916,66.4,76.3
1990-09-30,-0.036085,-0.023717,-0.005174,0.009938,0.018183,0.023583,0.02322,0.020535,0.01896,0.021555,26.42333333333333,8.16,0.0855705021971102,0.033190435677885,-0.1561922403890953,0.8979127926441082,0.666144977646235,0.779134941730417,0.0092429095970689,118.4,-9750952568.0,5.7,86.57666666666667,57.6,11137,63.9,160222900,96.25625706,66.4,76.1
1990-12-31,0.099014,0.090041,0.070046,0.058227,0.052214,0.0338,0.027561,0.020656,0.018309,0.00829,31.883333333333336,7.743333333333332,0.4629259298584775,0.3931444975075404,0.1665913641521313,1.3046980143964668,0.3694820482528321,0.5945012538696292,-0.0017261512496183,118.7,-6282845718.0,6.133333333333333,83.09333333333333,57.3,11271,64.0,160678700,85.23593384,66.4,76.3
1991-03-31,0.017541,0.018016,0.02085,0.020248,0.016692,0.019653,0.023355,0.016655,0.013858,0.008969,21.87,6.426666666666667,0.1810754666453295,0.2366418747159769,-0.0532607608678116,0.9295751258243428,-0.4402800671291603,0.2742325377683385,0.0050701671498132,116.2,-1947669470.0,6.6000000000000005,86.03333333333335,57.3,11427,64.0,160882600,99.32069599,66.3,76.1
1991-06-30,-0.002667,0.003704,0.007731,0.011817,0.014334,0.020082,0.018054,0.015564,0.014032,0.007407,20.75,5.863333333333333,-0.2357184762929107,-0.1449535700519566,-0.3899821868928625,0.4518430737797392,-0.5586391952608732,-0.1553424865781627,0.0151915983256831,116.4,-4144303814.0,6.833333333333333,93.57666666666668,57.4,11530,64.1,161162400,112.6567258,66.2,75.8
1991-09-30,0.087673,0.087107,0.071818,0.066204,0.060612,0.03455,0.026063,0.015418,0.014073,0.008824,21.66,5.6433333333333335,-0.4751496023057666,-0.5755662543003954,-0.6337720848823278,0.3121736723975691,-0.359642090096735,-0.4972963248810801,0.0129062805723385,116.1,-6850094111.0,6.866666666666667,92.29333333333334,57.4,11658,64.1,161538200,84.73239897,66.2,75.8
1991-12-31,0.063497,0.067626,0.069572,0.065727,0.056735,0.038551,0.026648,0.014743,0.012001,0.005102,21.73,4.816666666666666,-0.612351598225329,-0.7054809504201022,-0.7801499206091062,0.197170167847569,-0.3501345565945468,-0.71006340298268,0.009443054288176,115.9,-5726236601.0,7.1000000000000005,87.21333333333332,57.5,11764,64.1,162023200,91.57575591,66.0,75.4
1992-03-31,-0.042794,-0.036287,-0.02332,-0.026458,-0.019952,7.9e-05,0.009237,0.009842,0.009292,0.010153,18.906666666666663,4.023333333333333,-0.6637836597070961,-0.7493118550165762,-0.7425448545418333,0.0038969713625196,-0.5885988194170901,-0.9514896508476074,0.0157333180089838,116.1,-3821477540.0,7.366666666666667,88.71,57.8,11847,64.1,162181200,90.25896304,66.4,75.8
1992-06-30,0.039037,0.03907,0.045826,0.048454,0.046762,0.032013,0.019741,0.010923,0.009291,0.006461,21.2,3.77,-0.8177954608386209,-0.9027545333165018,-0.8801730025789083,-0.179454853100229,-0.7082729474101943,-1.0813058936281092,0.0169195779039845,118.0,-6479240505.0,7.6,86.85333333333334,57.9,11919,64.1,162365000,89.2413367,66.7,76.2
