QTDATE,CRSPID,DAYMAT,YLDMAT
2014-01-31,20190131.201250,1826,1.486
2014-02-28,20190131.201250,1798,1.476
2014-03-31,20190131.201250,1767,1.667
2014-04-30,20190131.201250,1737,1.598
2014-05-30,20190131.201250,1707,1.435
2014-06-30,20190131.201250,1676,1.502
2014-07-31,20190131.201250,1645,1.63
2014-08-29,20190131.201250,1616,1.501
2014-09-30,20190131.201250,1584,1.618
2014-10-31,20190131.201250,1553,1.447
2014-11-28,20190131.201250,1525,1.314
2014-12-31,20190131.201250,1492,1.485
2015-01-30,20200131.201370,1827,1.157
2015-02-27,20200131.201370,1799,1.486
2015-03-31,20200131.201370,1767,1.331
2015-04-30,20200131.201370,1737,1.384
2015-05-29,20200131.201370,1708,1.425
2015-06-30,20200131.201370,1676,1.559
2015-07-31,20200131.201370,1645,1.436
2015-08-31,20200131.201370,1614,1.473
2015-09-30,20200131.201370,1584,1.253
2015-10-30,20200131.201370,1554,1.414
2015-11-30,20200131.201370,1523,1.53
2015-12-31,20200131.201370,1492,1.605
2016-01-29,20210131.202120,1829,1.357
2016-02-29,20210131.202120,1798,1.243
2016-03-31,20210131.202120,1767,1.189
2016-04-29,20210131.202120,1738,1.28
2016-05-31,20210131.202120,1706,1.357
2016-06-30,20210131.202120,1676,0.954
2016-07-29,20210131.202120,1647,0.987
2016-08-31,20210131.202120,1614,1.175
2016-09-30,20210131.202120,1584,1.113
2016-10-31,20210131.202120,1553,1.239
2016-11-30,20210131.202120,1523,1.739
2016-12-30,20210131.202120,1493,1.777
2017-01-31,20220131.201500,1826,1.926
2017-02-28,20220131.201500,1798,1.937
2017-03-31,20220131.201500,1767,1.907
2017-04-28,20220131.201500,1739,1.793
2017-05-31,20220131.201500,1706,1.725
2017-06-30,20220131.201500,1676,1.794
2017-07-31,20220131.201500,1645,1.778
2017-08-31,20220131.201500,1614,1.644
2017-09-29,20220131.201500,1585,1.86
2017-10-31,20220131.201500,1553,1.921
2017-11-30,20220131.201500,1523,2.055
2017-12-29,20220131.201500,1494,2.106
2018-01-31,20230131.201750,1826,2.507
2018-02-28,20230131.201750,1798,2.623
2018-03-29,20230131.201750,1769,2.535
2018-04-30,20230131.201750,1737,2.768
2018-05-31,20230131.201750,1706,2.66
2018-06-29,20230131.201750,1677,2.712
2018-07-31,20230131.201750,1645,2.807
2018-08-31,20230131.201750,1614,2.714
2018-09-28,20230131.201750,1586,2.92
2018-10-31,20230131.201750,1553,2.944
2018-11-30,20230131.201750,1523,2.807
2018-12-31,20230131.201750,1492,2.477
2019-01-31,20240131.202250,1826,2.431
2019-02-28,20240131.202250,1798,2.514
2019-03-29,20240131.202250,1769,2.229
2019-04-30,20240131.202250,1737,2.266
2019-05-31,20240131.202250,1706,1.915
2019-06-28,20240131.202250,1678,1.751
2019-07-31,20240131.202250,1645,1.833
2019-08-30,20240131.202250,1615,1.414
2019-09-30,20240131.202250,1584,1.555
2019-10-31,20240131.202250,1553,1.522
2019-11-29,20240131.202250,1524,1.623
2019-12-31,20240131.202250,1492,1.657
2020-01-31,20250131.202500,1827,1.313
2020-02-28,20250131.202500,1799,0.944
2020-03-31,20250131.202500,1767,0.379
2020-04-30,20250131.202500,1737,0.363
2020-05-29,20250131.202500,1708,0.296
2020-06-30,20250131.202500,1676,0.248
2020-07-31,20250131.202500,1645,0.205
2020-08-31,20250131.202500,1614,0.233
2020-09-30,20250131.202500,1584,0.222
2020-10-30,20250131.202500,1554,0.319
2020-11-30,20250131.202500,1523,0.292
2020-12-31,20250131.202500,1492,0.274
2021-01-29,20260131.202620,1828,0.428
2021-02-26,20260131.202620,1800,0.702
2021-03-31,20260131.202620,1767,0.882
2021-04-30,20260131.202620,1737,0.79
2021-05-28,20260131.202620,1709,0.725
2021-06-30,20260131.202620,1676,0.806
2021-07-30,20260131.202620,1646,0.62
2021-08-31,20260131.202620,1614,0.687
2021-09-30,20260131.202620,1584,0.847
2021-10-29,20260131.202620,1555,1.063
2021-11-30,20260131.202620,1523,1.081
2021-12-31,20260131.202620,1492,1.172
2022-01-31,20270131.201500,1826,1.603
2022-02-28,20270131.201500,1798,1.72
2022-03-31,20270131.201500,1767,2.47
2022-04-29,20270131.201500,1738,2.949
2022-05-31,20270131.201500,1706,2.813
2022-06-30,20270131.201500,1676,3.022
2022-07-29,20270131.201500,1647,2.673
2022-08-31,20270131.201500,1614,3.402
2022-09-30,20270131.201500,1584,4.135
2022-10-31,20270131.201500,1553,4.269
2022-11-30,20270131.201500,1523,3.83
2022-12-30,20270131.201500,1493,4.061
2023-01-31,20280131.200750,1826,3.596
2023-02-28,20280131.200750,1798,4.151
2023-03-31,20280131.200750,1767,3.574
2023-04-28,20280131.200750,1739,3.482
2023-05-31,20280131.200750,1706,3.786
2023-06-30,20280131.200750,1676,4.172
2023-07-31,20280131.200750,1645,4.208
2023-08-31,20280131.200750,1614,4.28
2023-09-29,20280131.200750,1585,4.603
2023-10-31,20280131.200750,1553,4.827
2023-11-30,20280131.200750,1523,4.29
2023-12-29,20280131.200750,1494,3.869
2024-01-31,20290131.201750,1827,3.815
2024-02-29,20290131.201750,1798,4.221
2024-03-28,20290131.201750,1770,4.184
2024-04-30,20290131.201750,1737,4.683
2024-05-31,20290131.201750,1706,4.48
2024-06-28,20290131.201750,1678,4.365
2024-07-31,20290131.201750,1645,3.896
2024-08-30,20290131.201750,1615,3.702
2024-09-30,20290131.201750,1584,3.54
2024-10-31,20290131.201750,1553,4.121
2024-11-29,20290131.201750,1524,4.045
2024-12-31,20290131.201750,1492,4.313
