date,trade_balance
2010-03-31,-131383912915
2010-06-30,-162547949601
2010-09-30,-183428809653
2010-12-31,-158001396006
2011-03-31,-157895972366
2011-06-30,-185540606803
2011-09-30,-199108771162
2011-12-31,-182901240759
2012-03-31,-171044457937
2012-06-30,-188439044920
2012-09-30,-195211828588
2012-12-31,-175750975862
2013-03-31,-154224494937
2013-06-30,-175191397560
2013-09-30,-194060807323
2013-12-31,-165993153852
2014-03-31,-158854659281
2014-06-30,-189802133297
2014-09-30,-201554862888
2014-12-31,-184270623977
2015-03-31,-169630454408
2015-06-30,-186335566053
2015-09-30,-203280969752
2015-12-31,-186236011522
2016-03-31,-165315936251
2016-06-30,-182470258229
2016-09-30,-198806048588
2016-12-31,-188733973826
2017-03-31,-176218757970
2017-06-30,-199855923710
2017-09-30,-206047869262
2017-12-31,-210273376396
2018-03-31,-194965528064
2018-06-30,-203106959812
2018-09-30,-236653702871
2018-12-31,-235632195975
2019-03-31,-188266119383
2019-06-30,-219588731191
2019-09-30,-233222639418
2019-12-31,-204681739085
2020-03-31,-174294735338
2020-06-30,-217385916034
2020-09-30,-256020163105
2020-12-31,-253780962326
2021-03-31,-229984470621
2021-06-30,-261288909692
2021-09-30,-291952473715
2021-12-31,-287545920449
2022-03-31,-295763191545
2022-06-30,-305340178640
2022-09-30,-293512758873
2022-12-31,-272468757863
2023-03-31,-238975910502
2023-06-30,-273361437890
2023-09-30,-276972338817
2023-12-31,-267007523599
2024-03-31,-248009886631
2024-06-30,-293760865931
2024-09-30,-331022996084
2024-12-31,-331925689074
2025-03-31,-425487689003
2025-06-30,-266664632123
2025-09-30,-290075249795
2025-12-31,-255030937840
